sample	metagenome	unclassified	reads_total	bacteria	archaea	eukaryotes	viruses	pro_all	pro_HL	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_HLVI	pro_LL	pro_LLI	pro_LLII_LLIII	pro_LLII	pro_LLIII	pro_LLIV	pro_LLVII	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pro_LL_MIT1223	pel_all	pel_Ia	pel_Ia_BALTIC	pel_Ia_HIMB5	pel_Ia_1	pel_Ia_3	pel_Ia_3a	pel_Ia_3b	pel_Ib	pel_Ib_1	pel_Ib_2	pel_Ib_3	pel_Ic	pel_IIa	pel_IIa_1	pel_IIa_2	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	pel_Va	pel_Vb
S0192	simons	10818555	22385348	11117511	217491	110070	52398	3238083	3179988	83143	2434756	8080	21496	16835	4914	3027	2218	675	2359	4283	943	629	1520	484	280	74	434	3346045	957398	7055	8824	15209	885583	540788	302127	1170959	783444	26314	292272	7141	285422	264719	17964	10738	18888	1929	147093	574302	219907	353964
S0193	simons	10419136	17743620	6385537	357483	259364	239101	1792636	87682	9094	37101	5856	28395	1689800	1330921	93479	58664	30454	43188	125592	36502	26564	21399	15268	7269	1468	42694	1313261	244709	5557	5474	16317	206080	107932	88155	418292	191366	83734	55220	47563	223604	131968	86743	151162	6621	2106	17217	95304	3825	91377
S0195	simons	8459598	14214115	4829707	534565	162710	154881	755319	52779	4699	22721	3160	18951	695436	375566	91812	67406	21324	26459	163748	60333	30662	26050	16539	8440	1813	12663	1133595	193388	5001	4914	16005	158493	80462	70439	346214	142611	79291	39795	59903	166031	98000	64270	187802	6414	2166	8699	60549	2802	57679
S0196	simons	6958078	15083090	7798073	140797	81709	53651	1945264	1906411	37228	1443115	3757	11367	11115	3166	1829	1345	415	2006	2766	559	346	1103	296	195	33	205	2503576	694461	4849	6473	10648	638804	391947	211843	821629	580234	17714	170137	5133	272376	248804	20584	8493	22166	1378	119223	412259	187098	224731
S0197	simons	7862365	16731753	8405480	234096	86947	77220	2446593	2397216	50725	1805048	6095	15212	13417	3755	2383	1746	546	2003	3513	723	474	1386	327	270	53	285	2351456	685977	4881	6243	10336	631185	389573	206655	754829	504656	18223	177185	5213	265372	242890	19617	8083	18574	1397	128391	343041	126864	215864
S0198	simons	10176239	16417844	5188874	434926	216606	309455	1144312	147577	10324	58927	8430	56885	987205	794991	50448	34664	13760	32742	65303	18272	13621	11727	8250	3767	821	14331	1195804	256340	5220	4930	14773	218475	108672	97744	365023	167835	68064	50973	39307	192073	122138	65933	127846	5826	1887	23060	84197	3964	80146
S0199	simons	8335020	20150207	11202004	315394	94741	118285	3403778	3337528	70592	2519083	7306	22077	20281	5739	3561	2602	799	4027	4609	962	637	1698	499	328	53	461	3426373	1007474	6079	7899	14037	930380	560649	317185	1056321	739086	28523	220375	7424	458189	408802	44045	12656	21908	1882	135614	523393	224770	298123
S0200	simons	11270023	22031046	9946887	454009	148656	114524	3153892	3082100	65426	2283441	7281	20413	19785	5371	3258	2369	738	3688	4845	946	554	2057	466	353	66	396	2441177	664946	4730	6095	10545	609509	361581	212655	753395	495643	20519	177722	6169	354447	310392	39275	10807	19623	1588	95787	384198	151527	232224
S0201	simons	6691810	10827972	3234878	701285	112794	32044	251867	18581	1661	10452	1006	3373	230801	28228	43757	37648	5031	47073	100261	44868	14539	13439	8177	6328	1108	2338	580554	90053	3026	2303	10573	68738	30644	34630	144651	61472	23242	12659	74397	43607	28181	14469	129080	4009	1418	7120	29786	1955	27767
S0202	simons	7173200	15537503	7187977	609626	116229	323912	2324448	2254025	47592	1602176	19039	22978	23892	5546	3455	2369	868	7339	5013	914	698	1981	478	452	48	349	1251149	366708	1994	2576	5534	334676	189713	122653	326756	215183	11914	77794	2663	191358	171968	16604	8138	6957	696	70205	186832	91583	94937
S0203	simons	10721095	17772981	4917735	880747	661858	449773	905828	302483	18477	96569	13668	134570	594738	483977	21966	14623	6311	36118	29675	6950	6252	6337	3671	2127	333	5189	926908	302898	3862	3938	10334	267502	100583	149085	243226	123589	42571	30089	17395	140128	108130	29422	52209	4040	999	20950	70624	10753	59741
S0204	simons	9837220	20371882	8277186	1975867	112176	29540	150752	21405	2460	11880	1025	3591	128082	14306	22382	19066	2764	25078	60640	27711	8588	8802	4721	3509	654	1261	1161404	175925	6571	4805	23735	131564	57924	67890	271899	111622	41069	25313	193801	67682	44470	21864	237990	8144	3006	20254	91522	5658	85724
S0205	simons	6275906	14230878	7395779	211003	65708	210774	1878518	1838871	42524	1393007	12711	17061	15629	4055	2574	1883	578	4350	3344	653	434	1304	343	284	45	273	2239342	722669	4596	5975	10009	668528	370793	260825	617729	397630	37565	136361	5751	318140	267482	46449	9972	11365	1344	90119	337674	151253	186079
S0206	simons	9478167	18857164	7430380	1126890	447333	251383	1231681	803329	24481	503381	29862	75095	411445	309063	37210	25372	8578	13354	35242	8749	7232	6726	5452	2028	427	2994	1784759	610398	5937	6798	14046	551343	258518	257925	512728	250662	94492	91687	20386	271212	190405	75637	52495	7687	1612	40085	128932	20278	108517
S0207	simons	9986837	16500799	5111197	1219329	73737	23922	89954	18337	1552	10848	1134	2386	70779	8437	12165	10099	1778	13666	33155	14264	5053	4963	2869	1968	328	805	948891	123410	4549	3333	15475	93729	42564	47100	195135	77373	32835	18669	177700	58981	36350	21339	216770	6330	2435	7533	79423	4690	74623
S0209	simons	8914834	15095300	4798591	1228124	81040	6234	5060	2464	548	1568	155	87	2551	805	470	377	89	452	722	204	89	192	77	54	10	63	982907	694743	9850	4481	434861	198193	56436	132511	49398	22778	6436	10518	12679	86090	79420	5819	21405	10791	1505	10110	41262	5073	36122
S0210	simons	12987978	21348005	6520883	1659938	64513	9433	8269	4013	969	2444	260	163	4185	1107	1149	978	142	727	1061	316	141	265	94	81	18	97	1587126	979249	16298	8377	545912	342257	106396	219333	109667	45198	14619	21154	47229	159023	145102	12287	86544	18209	2969	10513	80177	7762	72264
S0211	simons	11061707	20545338	7715317	480989	888320	281144	23699	14844	7372	4793	372	923	8456	1677	1339	1050	244	3537	1529	301	258	448	198	152	20	122	2061293	1483699	20232	8747	781541	563058	128536	404119	81854	42343	10658	14428	12728	178065	166567	9730	27152	22575	2841	68471	68458	32901	35433
S0212	simons	13907835	23012858	7570965	494123	792831	144403	7344	3129	727	1845	176	193	4094	1115	853	716	131	993	961	238	152	256	106	62	14	82	1684110	1237283	17021	6987	783941	333518	84111	232054	69368	35152	9460	12212	12029	129302	119656	8207	23777	18640	2495	42089	49928	14635	35195
S0213	simons	8579466	16959218	6565184	1618513	93162	10959	6603	3079	748	1890	190	112	3464	1045	670	549	98	678	926	245	118	259	95	81	6	102	1223808	823118	12459	5961	497925	245969	72811	160567	66945	29902	9061	13185	21449	123202	113352	8547	39321	14803	2076	13232	48123	5854	42193
